titulo,anio,genero,calificacion
Secretos del Mar,2014,Comedia,8.2
Amor en la Ciudad,2024,Thriller,6.0
El Viaje Estelar,2017,Ciencia Ficción,6.0
El Viaje Estelar,2007,Romance,6.7
El Arte de Ganar,2007,Drama,6.1
El Último Guerrero,2004,Acción,8.3
Risas Eternas,2013,Ciencia Ficción,6.6
El Arte de Ganar,2024,Acción,8.1
El Misterio del Bosque,2007,Drama,5.4
La Sombra del Crimen,2016,Ciencia Ficción,6.5
Corazones Rotos,2003,Terror,5.5
La Sombra del Crimen,2018,Deporte,8.5
Secretos del Mar,2000,Deporte,5.5
El Viaje Estelar,2015,Romance,6.7
Risas Eternas,2022,Romance,5.0
Amor en la Ciudad,2008,Ciencia Ficción,8.7
Amor en la Ciudad,2010,Comedia,6.0
Risas Eternas,2016,Ciencia Ficción,6.3
La Máquina del Tiempo,2008,Thriller,6.6
Risas Eternas,2006,Ciencia Ficción,9.3
El Arte de Ganar,2015,Drama,5.1
La Máquina del Tiempo,2016,Romance,8.8
Risas Eternas,2008,Deporte,6.5
Risas Eternas,2000,Deporte,8.9
La Sombra del Crimen,2011,Romance,9.3
La Máquina del Tiempo,2008,Thriller,5.6
La Máquina del Tiempo,2013,Acción,7.7
Risas Eternas,2014,Thriller,7.3
Corazones Rotos,2016,Terror,9.2
Amor en la Ciudad,2000,Terror,5.3
La Máquina del Tiempo,2010,Thriller,5.7
Corazones Rotos,2024,Drama,5.5
Amor en la Ciudad,2003,Thriller,6.0
La Sombra del Crimen,2003,Comedia,7.0
La Sombra del Crimen,2005,Thriller,9.2
La Máquina del Tiempo,2014,Ciencia Ficción,5.7
Amor en la Ciudad,2024,Drama,5.9
La Sombra del Crimen,2006,Romance,8.1
Risas Eternas,2016,Acción,6.3
La Máquina del Tiempo,2012,Acción,7.3
El Viaje Estelar,2009,Terror,7.7
Secretos del Mar,2013,Comedia,7.5
Risas Eternas,2021,Drama,5.8
La Sombra del Crimen,2016,Romance,6.7
El Misterio del Bosque,2002,Deporte,8.1
La Sombra del Crimen,2003,Ciencia Ficción,6.6
El Último Guerrero,2007,Drama,5.4
La Sombra del Crimen,2018,Terror,5.8
El Misterio del Bosque,2012,Acción,6.3
Corazones Rotos,2009,Comedia,9.4
La Máquina del Tiempo,2000,Drama,6.0
La Máquina del Tiempo,2002,Terror,8.5
Amor en la Ciudad,2025,Thriller,5.6
El Misterio del Bosque,2006,Thriller,7.9
El Viaje Estelar,2022,Romance,7.1
Risas Eternas,2006,Thriller,6.4
El Viaje Estelar,2009,Comedia,5.1
Secretos del Mar,2015,Romance,8.1
El Misterio del Bosque,2012,Thriller,7.0
Amor en la Ciudad,2000,Thriller,7.7
La Sombra del Crimen,2001,Romance,7.9
El Último Guerrero,2019,Thriller,8.1
El Viaje Estelar,2005,Romance,6.6
Amor en la Ciudad,2003,Romance,5.4
Secretos del Mar,2014,Romance,8.7
El Arte de Ganar,2024,Thriller,6.1
Corazones Rotos,2007,Comedia,8.5
Corazones Rotos,2001,Ciencia Ficción,6.2
Risas Eternas,2008,Comedia,6.5
La Sombra del Crimen,2025,Thriller,9.3
El Último Guerrero,2023,Terror,8.5
Amor en la Ciudad,2018,Comedia,6.7
Secretos del Mar,2025,Ciencia Ficción,9.1
La Sombra del Crimen,2014,Comedia,8.8
El Misterio del Bosque,2020,Acción,5.7
El Arte de Ganar,2006,Romance,6.1
El Arte de Ganar,2019,Deporte,5.7
La Máquina del Tiempo,2013,Comedia,5.0
La Sombra del Crimen,2019,Deporte,9.3
La Máquina del Tiempo,2008,Deporte,5.1
La Sombra del Crimen,2022,Comedia,7.7
La Máquina del Tiempo,2020,Deporte,5.5
La Sombra del Crimen,2000,Romance,6.1
La Sombra del Crimen,2015,Drama,8.3
Corazones Rotos,2015,Thriller,7.8
El Arte de Ganar,2024,Ciencia Ficción,6.8
La Sombra del Crimen,2018,Ciencia Ficción,6.8
La Máquina del Tiempo,2008,Terror,5.0
La Máquina del Tiempo,2005,Ciencia Ficción,9.4
El Último Guerrero,2001,Ciencia Ficción,6.2
Corazones Rotos,2010,Terror,6.9
El Arte de Ganar,2024,Deporte,5.9
El Misterio del Bosque,2001,Deporte,5.5
El Viaje Estelar,2005,Deporte,7.7
Amor en la Ciudad,2022,Acción,9.3
Amor en la Ciudad,2007,Comedia,7.3
Corazones Rotos,2001,Deporte,8.7
La Máquina del Tiempo,2021,Acción,6.4
El Último Guerrero,2015,Thriller,7.8
El Misterio del Bosque,2004,Comedia,6.1
